0,4820296,15346630656,119578624,26208256,14147736,8202,16322090
2,102763848,15259926528,119578624,22996992,10936472,8202,13110826
4,102763848,13410238464,119578624,19785728,7725208,8202,9899562
5,25693512,13410238464,119578624,16574464,7725208,8202,9096746
7,51383624,12485394432,119578624,13363200,5820056,8202,7191594
9,51383624,10635706368,119578624,10151936,3914904,8202,5286442
10,12848456,10635706368,119578624,8546304,3914904,8202,4885034
12,25693520,9710862336,119578624,6940672,3112088,8202,4082218
14,25693520,7861174272,119578624,5335040,2309272,8202,3279402
16,25693520,6011486208,119578624,4532224,1506456,8202,2476586
17,6425936,6011486208,119578624,3729408,1506456,8202,1673770
19,12848464,5086642176,119578624,2926592,1105048,8202,1272362
21,12848464,3236954112,119578624,2123776,703640,8202,870954
23,12848464,1387266048,119578624,1320960,302232,8202,469546
24,3214664,1387266048,119578624,919552,302232,8202,368802
26,3214664,924844032,119578624,518144,201488,8202,268058
28,3214664,462422016,119578624,417792,100744,8202,167314
30,3214664,0,119578624,317440,0,8202,66570
31,806184,0,119578624,217088,0,8202,41482
33,806104,0,119578624,16384,0,8202,16394
35,134288,0,16818176,12288,0,4106,12298
36,134288,0,16818176,8192,0,4106,8202
38,134288,0,40960,4096,0,10,4106
39,134288,0,40960,30,0,10,10
40,0,0,0,0,0,0,0
